Título;Link;Conjunto de dados atualizados em:;Conjunto de dados criado e fornecido por:;Licença;Período de cobertura;Área de cobertura;Descrição
Produção de leite - conjunto 071;https://dados.exemplo.gov.br/producao/71;2025-12-18;Secretaria Estadual de Agricultura;Dados Abertos;2018-2025;Goiás;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 072;https://estatisticas.exemplo.gov.br/rebanho/72;2023-01-19;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2023;Região Sul;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 073;https://mercado.exemplo.com.br/precos/73;2024-02-20;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2024;Brasil;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 074;https://imagens.exemplo.org/racas/74;2025-03-21;Coleção Rural Particular;CC BY-NC 4.0;2018-2025;Minas Gerais;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 075;https://universidade.exemplo.br/mastite/75;2023-04-22;Laboratório Universitário de Saúde Animal;CC0;2018-2023;São Paulo;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 076;https://repositorio.exemplo.edu.br/nutricao/76;2024-05-23;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2024;Paraná;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 077;https://comercio.exemplo.gov.br/lacteos/77;2025-06-24;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2025;Goiás;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 078;https://ong.exemplo.org/agricultura-familiar/78;2023-07-25;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2023;Região Sul;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 079;https://genetica.exemplo.com/avaliacoes/79;2024-08-26;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2024;Brasil;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 080;https://pesquisa.exemplo.edu.br/emissoes/80;2025-09-27;Centro Acadêmico de Estudos Climáticos;CC0;2018-2025;Minas Gerais;Medições de metano e indicadores ambientais em sistemas leiteiros.
Produção de leite - conjunto 081;https://dados.exemplo.gov.br/producao/81;2023-10-01;Secretaria Estadual de Agricultura;Dados Abertos;2018-2023;São Paulo;Volume anual de leite produzido por município e número de propriedades produtoras.
Rebanho de vacas ordenhadas - conjunto 082;https://estatisticas.exemplo.gov.br/rebanho/82;2024-11-02;Instituto Nacional de Estatística Rural;CC BY 4.0;2018-2024;Paraná;Quantidade de vacas em lactação e tamanho do plantel leiteiro por região.
Preço do leite ao produtor - conjunto 083;https://mercado.exemplo.com.br/precos/83;2025-12-03;AgroMercado Consultoria Ltda.;Uso comercial restrito;2018-2025;Goiás;Série mensal do preço médio pago por litro de leite ao produtor rural.
Imagens de raças leiteiras - conjunto 084;https://imagens.exemplo.org/racas/84;2023-01-04;Coleção Rural Particular;CC BY-NC 4.0;2018-2023;Região Sul;Banco de fotografias identificadas de raças bovinas utilizadas na produção de leite.
Casos de mastite bovina - conjunto 085;https://universidade.exemplo.br/mastite/85;2024-02-05;Laboratório Universitário de Saúde Animal;CC0;2018-2024;Brasil;Registros experimentais de mastite, agentes infecciosos e tratamentos avaliados.
Nutrição de vacas leiteiras - conjunto 086;https://repositorio.exemplo.edu.br/nutricao/86;2025-03-06;Grupo de Pesquisa em Nutrição Animal;Dados Abertos;2018-2025;Minas Gerais;Composição de dietas e consumo de nutrientes por vacas em diferentes fases de lactação.
Comércio de produtos lácteos - conjunto 087;https://comercio.exemplo.gov.br/lacteos/87;2023-04-07;Ministério do Desenvolvimento e Comércio;CC BY 4.0;2018-2023;São Paulo;Volumes comercializados de leite, queijo, manteiga e leite em pó.
Propriedades de agricultura familiar - conjunto 088;https://ong.exemplo.org/agricultura-familiar/88;2024-05-08;Instituto Leite e Desenvolvimento Social;Uso comercial restrito;2018-2024;Paraná;Perfil produtivo de pequenas propriedades leiteiras atendidas por projeto social.
Genética de bovinos leiteiros - conjunto 089;https://genetica.exemplo.com/avaliacoes/89;2025-06-09;GenBov Comercial Ltda.;CC BY-NC 4.0;2018-2025;Goiás;Avaliação genética de animais para produção, gordura, proteína e longevidade.
Emissões da pecuária leiteira - conjunto 090;https://pesquisa.exemplo.edu.br/emissoes/90;2023-07-10;Centro Acadêmico de Estudos Climáticos;CC0;2018-2023;Região Sul;Medições de metano e indicadores ambientais em sistemas leiteiros.
